staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date
Arianna Espinoza,1303,PRN20190002,1546M3R6,PSD - Admin,Harvest Four Corners LLC,Harvest - Trunk N Compressor Station,10/3/2019 8:31,,,11/2/2019 0:00,11/2/2019 0:00,10/30/2019 8:10,,,
Urshula Bajracharya,1303,PRN20200001,1546M3R7,PSD - Admin,Harvest Four Corners LLC,Harvest - Trunk N Compressor Station,1/28/2020 9:42,,,2/27/2020 0:00,2/27/2020 0:00,1/30/2020 11:06,,,
Rebecca Procter,1303,PRN20200002,1546M3R8,PSD - Admin,Harvest Four Corners LLC,Harvest - Trunk N Compressor Station,7/2/2020 15:26,,,8/1/2020 0:00,8/1/2020 0:00,7/8/2020 13:01,,,
Melinda Owens,1303,PRN20110002,1546M3,PSD-Minor Modification ,Harvest Four Corners LLC,Trunk N Compressor Station,1/3/2011 10:59,,1/27/2011 11:32,4/27/2011 0:00,4/27/2011 0:00,3/23/2011 9:15,,,
Denise Huff,1304,PRN20170001,1581R3,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Compressor Station 311,9/1/2017 16:40,,,10/1/2017 0:00,10/1/2017 0:00,11/16/2017 16:40,,,
Samuel Speaker,1304,PRN20100002,1581R2,Notice of Intent ,Hilcorp Energy Company,ConocoPhillips - Compressor Station 311,3/24/2010 14:33,,,4/23/2010 0:00,4/23/2010 0:00,5/4/2010 8:20,,,
Samuel Speaker,1304,PRN20100001,1581M1,Streamline Level 1-New ,Hilcorp Energy Company,ConocoPhillips - Compressor Station 311,3/24/2010 8:30,,4/21/2010 8:29,4/23/2010 0:00,4/23/2010 0:00,,,4/24/2010 8:28,
Mary Gerhart,1305,PRN20140001,1582M3R1,Administrative Revision ,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,4/2/2014 10:40,,,5/2/2014 0:00,5/2/2014 0:00,4/7/2014 10:10,,,
Teri Waldron,1305,PRN20150001,1582M3R2,Administrative Revision ,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,10/15/2015 16:27,,,11/14/2015 0:00,11/14/2015 0:00,10/23/2015 13:05,,,
Denise Huff,1305,PRN20170001,1582M3R3,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Compressor Station No355,9/1/2017 16:44,,,10/1/2017 0:00,10/1/2017 0:00,11/16/2017 16:44,,,
Norma Perez,1305,PRN20100001,1582M2,Streamline Level 1-New ,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,3/15/2010 16:48,,3/22/2010 10:04,4/21/2010 0:00,4/21/2010 0:00,4/8/2010 16:04,,,
Mary Gerhart,1305,PRN20120001,1582M3,Streamline Level 1-Revision,Hilcorp Energy Company,ConocoPhillips - Compressor Station No355,1/18/2012 9:02,,2/16/2012 17:50,3/17/2012 0:00,3/17/2012 0:00,3/17/2012 12:44,,,
Teri Waldron,1307,PRN20110002,1613M1R1,Administrative Revision ,"Enterprise Field Services, LLC",Sandstone Compressor Station,5/6/2011 9:55,,,6/5/2011 0:00,6/5/2011 0:00,5/17/2011 11:20,,,
Martyne Kieling,1307,PRN20110001,1613M1,GCP1-New ,"Enterprise Field Services, LLC",Sandstone Compressor Station,2/10/2011 15:04,,,3/12/2011 0:00,3/12/2011 0:00,3/9/2011 14:04,,,
Martyne Kieling,1307,PRN20120001,1613M2,GCP1-Significant Revision ,"Enterprise Field Services, LLC",Sandstone Compressor GCP1-1613,1/20/2012 11:04,,,2/19/2012 0:00,2/19/2012 0:00,2/16/2012 11:16,,,
Marilynn Miller,1310,PRN20050001,1635M1R1,Administrative Revision ,"Enterprise Field Services, LLC",Quinn Compressor Station,8/9/2005 15:10,,,,,8/18/2005 12:14,,,1/11/2011 17:45
Teri Waldron,1310,PRN20110001,1635M2R1,Administrative Revision ,"Enterprise Field Services, LLC",Quinn Compressor Station,5/6/2011 9:53,,,6/5/2011 0:00,6/5/2011 0:00,5/17/2011 11:09,,,4/9/2012 17:49
Norma Perez,1310,PRN20100001,1635M2,No Permit Required,"Enterprise Field Services, LLC",Quinn Compressor Station,11/8/2010 11:40,,,,,1/11/2011 11:54,,,4/9/2012 17:48
Teri Waldron,1310,PRN20120001,1635M3,Notice of Intent ,"Enterprise Field Services, LLC",Quinn Compressor Station,4/5/2012 12:23,,,5/5/2012 0:00,5/5/2012 0:00,4/9/2012 17:18,,,
Teri Waldron,1311,PRN20150001,1331R1,Administrative Revision ,Hilcorp Energy Company,State Com S No15 Compressor Station,4/30/2015 11:36,,,5/30/2015 0:00,5/30/2015 0:00,5/8/2015 10:20,,,1/16/2018 15:38
Denise Huff,1311,PRN20170001,1331R2,Administrative Revision ,Hilcorp Energy Company,Hilcorp - State Com S No15 Compressor Station,9/1/2017 16:48,,,10/1/2017 0:00,10/1/2017 0:00,11/16/2017 16:51,,,1/16/2018 15:37
Teri Waldron,1311,PRN20180001,1331R3,Administrative Revision ,Hilcorp Energy Company,Hilcorp - State Com S No15 Compressor Station,1/8/2018 16:47,,,2/7/2018 0:00,2/7/2018 0:00,,,,1/16/2018 15:37
Dhiraj Solomon,1313,PRN20020001,1589R1,Administrative Revision ,Harvest Four Corners LLC,Navajo CDP Compressor Station,11/6/2002 0:00,,,1/9/2003 0:00,1/9/2003 0:00,12/11/2002 0:00,,,8/1/2011 17:01
Teri Waldron,1313,PRN20040001,1589R2,Administrative Revision ,Harvest Four Corners LLC,Navajo CDP Compressor Station,11/17/2004 11:10,,,,,12/7/2004 11:11,,,8/1/2011 17:00
Unknown,1313,PRN20090001,DC1589M1,Administrative Revision ,Harvest Four Corners LLC,Navajo CDP Compressor Station GCP1-1589,12/7/2009 15:12,,,1/6/2010 0:00,1/6/2010 0:00,12/7/2009 15:12,,,8/1/2011 17:01
Kerry Carr,1313,PRN20110001,1589M1R1,Administrative Revision ,Harvest Four Corners LLC,Navajo CDP Compressor Station GCP1-1589,7/29/2011 9:10,,,8/28/2011 0:00,8/28/2011 0:00,,,,8/1/2011 17:01
Jay Stimmel,1313,PRN20060001,1589M1,GCP1-New ,Harvest Four Corners LLC,Navajo CDP Compressor Station GCP1-1589,8/15/2006 17:12,,,9/14/2006 0:00,9/14/2006 0:00,9/14/2006 17:45,,,8/1/2011 17:00
Kerry Carr,1315,PRN20110001,1629M3R3,Administrative Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,1/27/2011 8:52,,,2/26/2011 0:00,2/26/2011 0:00,2/16/2011 13:40,,,
Teri Waldron,1315,PRN20110002,1629M3R4,Administrative Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,5/6/2011 18:01,,,6/5/2011 0:00,6/5/2011 0:00,5/16/2011 16:41,,,
Teri Waldron,1315,PRN20120002,1629M4R1,Administrative Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,11/26/2012 14:10,,,12/26/2012 0:00,12/26/2012 0:00,11/29/2012 15:37,,,
Greg Tickle,1315,PRN20180001,1629M4R2,Administrative Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,12/13/2018 14:19,,,1/12/2019 0:00,1/12/2019 0:00,1/11/2019 14:17,,,
Arianna Espinoza,1315,PRN20190001,1629M4R3,Administrative Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,6/3/2019 14:10,,,7/3/2019 0:00,7/3/2019 0:00,7/3/2019 16:10,,,
Elizabeth Kuehn,1315,PRN20120001,1629M4,Regular-Significant Revision ,"Enterprise Field Services, LLC",Buena Vista Booster Station,5/30/2012 10:47,,6/29/2012 15:51,9/27/2012 0:00,9/27/2012 0:00,9/27/2012 9:27,,,
Marilynn Miller,1316,PRN20040001,1681R3,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No3 Compressor Station,11/12/2004 14:12,,,,,12/9/2004 12:16,,,3/15/2011 9:52
Kerry Carr,1316,PRN20110001,1681R3,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No3 Compressor Station,2/18/2011 8:33,,,3/20/2011 0:00,3/20/2011 0:00,,,,3/15/2011 9:52
Seth Frederick,1319,PRN20130001,1680M1R2,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No1 Compressor Station GCP1-1680,6/21/2013 8:39,,,7/21/2013 0:00,7/21/2013 0:00,6/24/2013 8:39,,,
Martyne Kieling,1319,PRN20100001,1680M1,GCP1-New ,"Enterprise Field Services, LLC",Hart Canyon No1 Compressor Station,11/9/2010 8:50,,,12/9/2010 0:00,12/9/2010 0:00,12/8/2010 12:30,,,
Martyne Kieling,1319,PRN20110001,1680M1R1,GCP1-Significant Revision ,"Enterprise Field Services, LLC",Hart Canyon No1 Compressor Station,11/21/2011 8:29,,,12/21/2011 0:00,12/21/2011 0:00,12/7/2011 13:35,,,
Daren Zigich,1325,PRN20130002,1679M2R1,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No2 Compressor Station,12/27/2013 16:10,,,1/26/2014 0:00,1/26/2014 0:00,1/7/2014 13:54,,,
Leslee Kimbrell,1325,PRN20200001,1679M2R2,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No2 Compressor Station,2/10/2020 10:53,,,3/11/2020 0:00,3/11/2020 0:00,2/14/2020 15:54,,,
Arianna Espinoza,1325,PRN20200002,1679M2R3,Administrative Revision ,"Enterprise Field Services, LLC",Hart Canyon No2 Compressor Station,7/31/2020 13:15,,,8/30/2020 0:00,8/30/2020 0:00,8/24/2020 10:01,,,
Sandy Spon,1325,PRN20100001,1679M1,Regular-Significant Revision ,"Enterprise Field Services, LLC",Hart Canyon No2 Compressor Station,12/3/2010 11:25,12/10/2010 10:53,1/21/2011 9:39,4/21/2011 0:00,4/21/2011 0:00,4/18/2011 14:58,,,
William Green,1325,PRN20120001,1679M2,Regular-Significant Revision ,"Enterprise Field Services, LLC",Hart Canyon No2 Compressor Station,4/27/2012 16:17,,5/24/2012 15:37,8/22/2012 0:00,8/22/2012 0:00,8/21/2012 13:47,,,
Leslee Kimbrell,1328,PRN20200001,1767R7,Administrative Revision ,SIMCOE LLC,SIMCOE  - Caterpillar 3306 NA Portable Engine Packages,11/25/2020 16:40,,,12/25/2020 0:00,12/25/2020 0:00,12/29/2020 16:40,,,
Mary Gerhart,1328,PRN20160004,1767R5,Notice of Intent ,SIMCOE LLC,BP America Production  - CAT G3306NA HCR and Arrow VRG220/Compressco Comp Pkgs,3/15/2016 16:20,,,4/14/2016 0:00,4/14/2016 0:00,4/14/2016 9:33,,,
Mary Gerhart,1328,PRN20160006,1767R6,Notice of Intent ,SIMCOE LLC,BP America Production  - Caterpillar 3306 NA Portable Engine Packages,6/8/2016 10:48,,,7/8/2016 0:00,7/8/2016 0:00,6/30/2016 16:02,,,
Teri Waldron,1328,PRN20100001,1767R4,Substitutions/Additions,SIMCOE LLC,BP America Production  - CAT G3306NA HCR and Arrow VRG220/Compressco Comp Pkgs,6/29/2010 15:35,,,7/29/2010 0:00,7/29/2010 0:00,7/12/2010 15:50,,,
Leslee Kimbrell,1329,PRN20200001,1768R3,Administrative Revision ,SIMCOE LLC,SIMCOE - Ajax 360 No1768,11/25/2020 16:47,,,12/25/2020 0:00,12/25/2020 0:00,12/29/2020 16:47,,,
Denise Huff,1330,PRN20170002,1736R8,Administrative Revision ,Hilcorp Energy Company,Hilcorp - Portable Cat 3304 Packages,9/1/2017 16:53,,,10/1/2017 0:00,10/1/2017 0:00,11/16/2017 16:53,,,
Martyne Kieling,1330,PRN20110001,1736R6,Notice of Intent ,Hilcorp Energy Company,Burlington - Portable Cat 3304 Packages,7/19/2011 17:16,,,8/18/2011 0:00,8/18/2011 0:00,8/4/2011 11:48,,,
Teri Waldron,1330,PRN20170001,1736R7,Notice of Intent ,Hilcorp Energy Company,ConocoPhillips - Portable Cat 3304 Packages,3/3/2017 9:27,,,4/2/2017 0:00,4/2/2017 0:00,3/9/2017 10:43,,,
Kerry Carr,1331,PRN20110001,1710M2R3,Administrative Revision ,"Enterprise Field Services, LLC",Cedar Hill Compressor Station,1/27/2011 8:44,,,2/26/2011 0:00,2/26/2011 0:00,2/16/2011 13:31,,,
Teri Waldron,1331,PRN20110002,1710M2R4,Administrative Revision ,"Enterprise Field Services, LLC",Cedar Hill Compressor Station,5/6/2011 18:04,,,6/5/2011 0:00,6/5/2011 0:00,5/16/2011 17:54,,,
Joseph Kimbrell,1331,PRN20130001,1710M3R1,Administrative Revision ,"Enterprise Field Services, LLC",Cedar Hill Compressor Station,4/15/2013 16:12,,,5/15/2013 0:00,5/15/2013 0:00,4/17/2013 16:13,,,
Tasha Burns,1331,PRN20170001,1710M3R2,Administrative Revision ,"Enterprise Field Services, LLC",Cedar Hill Compressor Station,8/7/2017 8:37,,,9/6/2017 0:00,9/6/2017 0:00,8/16/2017 12:05,,,
Joseph Kimbrell,1331,PRN20120001,1710M3,Regular-Significant Revision ,"Enterprise Field Services, LLC",Cedar Hill Compressor Station,6/4/2012 15:14,,7/3/2012 9:00,10/1/2012 0:00,10/1/2012 0:00,9/10/2012 12:04,,,
Kerry Carr,1332,PRN20030001,1675R2,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,6/12/2003 8:46,,,8/6/2003 0:00,8/6/2003 0:00,7/8/2003 16:32,,,12/28/2018 15:16
Teri Waldron,1332,PRN20040001,1675R3,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,11/17/2004 11:19,,,,,12/7/2004 11:19,,,12/28/2018 15:15
Teri Waldron,1332,PRN20060001,1675R4,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,8/23/2006 14:38,,,,,9/14/2006 16:23,,,12/28/2018 15:15
Teri Waldron,1332,PRN20100001,1675R5,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,3/30/2010 17:30,,,4/29/2010 0:00,4/29/2010 0:00,4/7/2010 14:45,,,12/28/2018 15:14
Teri Waldron,1332,PRN20110002,1675M1R1,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,8/24/2011 14:25,,,9/23/2011 0:00,9/23/2011 0:00,8/25/2011 14:26,,,12/28/2018 15:13
Teri Waldron,1332,PRN20140001,1675M1R2,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,4/1/2014 14:20,,,5/1/2014 0:00,5/1/2014 0:00,5/1/2014 14:20,,,12/28/2018 15:12
Arianna Espinoza,1332,PRN20180001,1675M1R3,Administrative Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,10/25/2018 10:13,,,11/24/2018 0:00,11/24/2018 0:00,12/19/2018 10:30,,,12/28/2018 15:12
Arianna Espinoza,1332,PRN20180002,1675M1R4,Administrative Revision ,Harvest Four Corners LLC,Harvest - Pritchard Straddle Compressor Station,12/28/2018 14:52,,,1/27/2019 0:00,1/27/2019 0:00,,,,12/28/2018 15:17
Sandy Spon,1332,PRN20100002,1675M1,Regular-Significant Revision ,Harvest Four Corners LLC,Pritchard Straddle Compressor Station,11/1/2010 12:33,12/1/2010 8:55,1/12/2011 8:00,4/12/2011 0:00,4/12/2011 0:00,4/11/2011 13:42,,,12/28/2018 15:14
Teri Waldron,1333,PRN20130001,1664M2R1,Administrative Revision ,Harvest Four Corners LLC,La Cosa Compressor Station,5/10/2013 9:13,,,6/9/2013 0:00,6/9/2013 0:00,5/15/2013 16:12,,,
Teri Waldron,1333,PRN20140001,1664M2R2,Administrative Revision ,Harvest Four Corners LLC,La Cosa Compressor Station,4/1/2014 15:41,,,5/1/2014 0:00,5/1/2014 0:00,4/23/2014 15:41,,,
Denise Huff,1333,PRN20170001,1664M2R3,Administrative Revision ,Harvest Four Corners LLC,Williams - La Cosa Compressor Station,5/16/2017 14:42,,,6/15/2017 0:00,6/15/2017 0:00,6/15/2017 13:21,,,
Arianna Espinoza,1333,PRN20180001,1664M2R4,Administrative Revision ,Harvest Four Corners LLC,Harvest - La Cosa Compressor Station,10/1/2018 17:19,,,10/31/2018 0:00,10/31/2018 0:00,1/8/2019 9:29,,,
Denise Huff,1333,PRN20190001,1664M2R5,Administrative Revision ,Harvest Four Corners LLC,Harvest - La Cosa Compressor Station,3/6/2019 11:14,,,4/5/2019 0:00,4/5/2019 0:00,4/18/2019 15:38,,,
Kathleen Primm,1333,PRN20100001,1664M2,Regular-Significant Revision ,Harvest Four Corners LLC,La Cosa Compressor Station,11/1/2010 13:44,12/1/2010 14:13,12/29/2010 17:11,3/29/2011 0:00,3/29/2011 0:00,3/1/2011 15:46,,,
Kerry Carr,1335,PRN20120001,1779R2,Administrative Revision ,BP America Production Company - NM Northwest Office,BP America Production  - Caterpillar G342,3/30/2012 11:33,,,4/29/2012 0:00,4/29/2012 0:00,,,,4/26/2012 16:06
Teri Waldron,1337,PRN20100001,1781M1R1,Administrative Revision ,SIMCOE LLC,BP America Production  - Portable Caterpillar 3306taHCR,6/23/2010 15:48,,,7/23/2010 0:00,7/23/2010 0:00,7/6/2010 16:47,,,
Teri Waldron,1337,PRN20110001,1781M1R2,Administrative Revision ,SIMCOE LLC,BP America Production  - Portable Caterpillar 3306taHCR,8/5/2011 11:30,,,9/4/2011 0:00,9/4/2011 0:00,8/18/2011 15:05,,,
Teri Waldron,1337,PRN20120002,1781M1R3,Administrative Revision ,SIMCOE LLC,BP America Production  - Portable Caterpillar 3306taHCR,5/15/2012 11:33,,,6/14/2012 0:00,6/14/2012 0:00,5/28/2012 11:33,,,
Leslee Kimbrell,1337,PRN20200001,1781M3R1,Administrative Revision ,SIMCOE LLC,SIMCOE - Portable Caterpillar 3306TA Compressor Engines,11/25/2020 15:24,,,12/25/2020 0:00,12/25/2020 0:00,12/29/2020 15:25,,,
Samuel Speaker,1337,PRN20120001,1781M2,Streamline Level 1-Revision,SIMCOE LLC,BP America Production  - Portable Caterpillar 3306taHCR,2/1/2012 8:31,2/21/2012 9:13,7/12/2012 7:41,8/11/2012 0:00,8/11/2012 0:00,7/31/2012 8:51,,,
Marvin Mascarenas,1337,PRN20150005,1781M3,Streamline Level 1-Revision,SIMCOE LLC,BP  - Portable Caterpillar 3306TA Portable Compressor Engines,7/23/2015 11:43,,8/21/2015 8:06,9/20/2015 0:00,9/20/2015 0:00,9/17/2015 15:30,,,
Kerry Carr,1338,PRN20120001,1783M1R1,Administrative Revision ,BP America Production Company - NM Northwest Office,BP America Production - Waukesha F1197G,3/30/2012 11:34,,,4/29/2012 0:00,4/29/2012 0:00,,,,4/26/2012 12:10
Norma Perez,1338,PRN20090001,1783M1,Streamline Level 1-Revision,BP America Production Company - NM Northwest Office,BP America Production - Waukesha F1197G,4/1/2009 14:59,,4/24/2009 14:48,5/24/2009 0:00,5/24/2009 0:00,5/21/2009 13:38,,,4/26/2012 12:10
Sandy Spon,1339,PRN20090002,1784M1R1,Administrative Revision ,BP America Production Company - NM Northwest Office,BP America Production  - Waukesha F817G (15) Compressor Packages,6/16/2009 15:21,,,7/16/2009 0:00,7/16/2009 0:00,7/15/2009 8:53,,,6/27/2014 11:34
Teri Waldron,1339,PRN20140001,1784M2R1,Administrative Revision ,BP America Production Company - NM Northwest Office,BP America Production  - Waukesha F817G (15) Compressor Packages,6/24/2014 15:23,,,7/24/2014 0:00,7/24/2014 0:00,,,,6/27/2014 12:21
Teri Waldron,1339,PRN20090003,DC 1784M1R1,Data Correction,BP America Production Company - NM Northwest Office,BP America Production  - Waukesha F817G (15) Compressor Packages,1/20/2010 14:20,,,2/19/2010 0:00,2/19/2010 0:00,1/20/2010 14:20,,,6/27/2014 11:34
Sandy Spon,1339,PRN20090001,1784M1,Streamline Level 1-Revision,BP America Production Company - NM Northwest Office,BP America Production  - 15 ea Waukesha F817 G,4/1/2009 14:54,,4/30/2009 11:48,5/30/2009 0:00,5/30/2009 0:00,5/15/2009 13:26,,,6/27/2014 11:35
Kathleen Primm,1339,PRN20120001,1784M2,Streamline Level 1-Revision,BP America Production Company - NM Northwest Office,BP America Production  - Waukesha F817G (15) Compressor Packages,2/1/2012 7:17,2/21/2012 8:26,6/14/2012 9:58,7/14/2012 0:00,7/14/2012 0:00,7/12/2012 9:15,,,6/27/2014 11:33
Teri Waldron,1342,PRN20040001,1788R1,Administrative Revision ,Harvest Four Corners LLC,Trunk A Booster Compressor Station,11/17/2004 12:14,,,,,12/7/2004 12:14,,,4/23/2019 15:47
Teri Waldron,1342,PRN20060001,1788R2,Administrative Revision ,Harvest Four Corners LLC,Trunk A Booster Compressor Station,8/23/2006 16:35,,,,,9/15/2006 14:45,,,4/23/2019 15:46
Teri Waldron,1342,PRN20140001,1788R3,Administrative Revision ,Harvest Four Corners LLC,Trunk A Booster Compressor Station,4/1/2014 10:48,,,5/1/2014 0:00,5/1/2014 0:00,5/2/2014 11:00,,,4/23/2019 15:46
Teri Waldron,1342,PRN20160001,1788M1R1,Administrative Revision ,Harvest Four Corners LLC,WFC - Trunk A Compressor Station,8/29/2016 14:03,,,9/28/2016 0:00,9/28/2016 0:00,9/7/2016 11:04,,,4/23/2019 15:45
Teri Waldron,1342,PRN20180001,1788M1R2,Administrative Revision ,Harvest Four Corners LLC,WFC - Trunk A Compressor Station,3/9/2018 16:50,,,4/8/2018 0:00,4/8/2018 0:00,3/14/2018 17:57,,,4/23/2019 15:45
Tasha Burns,1342,PRN20180002,1788M1R3,Administrative Revision ,Harvest Four Corners LLC,Harvest - Trunk A Booster Station,10/31/2018 10:26,,,11/30/2018 0:00,11/30/2018 0:00,11/19/2018 17:00,,,4/23/2019 15:45
Arianna Espinoza,1342,PRN20180003,1788M1R4,Administrative Revision ,Harvest Four Corners LLC,Harvest - Trunk A Booster Station,12/28/2018 15:32,,,1/27/2019 0:00,1/27/2019 0:00,,,,4/23/2019 15:44
Linsey Hurst,1342,PRN20140002,1788M1,Regular-Significant Revision ,Harvest Four Corners LLC,Trunk A Compressor Station,10/27/2014 11:12,,11/18/2014 9:55,2/16/2015 0:00,2/16/2015 0:00,2/5/2015 12:39,,,4/23/2019 15:46
Teri Waldron,1345,PRN20140001,1838M2R1,Administrative Revision ,Harvest Four Corners LLC,Coyote Springs Compressor Station,4/1/2014 16:38,,,5/1/2014 0:00,5/1/2014 0:00,4/21/2014 16:38,,,
Denise Huff,1345,PRN20160001,1838M2R2,Administrative Revision ,Harvest Four Corners LLC,Williams - Coyote Springs Compressor Station,11/3/2016 16:42,,,12/3/2016 0:00,12/3/2016 0:00,11/28/2016 15:38,,,
Teri Waldron,1345,PRN20170001,1838M2R3,Administrative Revision ,Harvest Four Corners LLC,Williams - Coyote Springs Compressor Station,8/18/2017 8:44,,,9/17/2017 0:00,9/17/2017 0:00,8/22/2017 12:15,,,
Arianna Espinoza,1345,PRN20180001,1838M3R1,Administrative Revision ,Harvest Four Corners LLC,Harvest - Coyote Springs Compressor Station,10/25/2018 9:22,,,11/24/2018 0:00,11/24/2018 0:00,12/19/2018 10:02,,,
Kathleen Primm,1345,PRN20100001,1838M2,Streamline Level 1-New ,Harvest Four Corners LLC,Coyote Springs Compressor Station,3/22/2010 12:43,,4/21/2010 13:15,4/21/2010 0:00,4/21/2010 0:00,5/21/2010 9:42,,,
Marvin Mascarenas,1345,PRN20170002,1838M3,Streamline Level 1-Revision,Harvest Four Corners LLC,Williams - Coyote Springs Compressor Station,11/21/2017 15:51,,12/21/2017 12:05,1/20/2018 0:00,1/20/2018 0:00,1/19/2018 13:22,,,
Teri Waldron,1346,PRN20040001,1849M1R1,Administrative Revision ,Harvest Four Corners LLC,Trunk C Booster Compressor Station,11/17/2004 12:26,,,,,12/5/2004 12:26,,,3/8/2011 16:20
Marilynn Miller,1346,PRN20050001,1849M1R2,Administrative Revision ,Harvest Four Corners LLC,Trunk C Booster Compressor Station,8/16/2005 14:39,,,,,8/26/2005 12:33,,,3/8/2011 16:20
Teri Waldron,1346,PRN20060001,1849M1R3,Administrative Revision ,Harvest Four Corners LLC,Trunk C Booster Compressor Station,8/23/2006 16:44,,,,,9/18/2006 15:09,,,3/8/2011 16:19
Teri Waldron,1346,PRN20110001,1849M1R4,Administrative Revision ,Harvest Four Corners LLC,Trunk C Booster Compressor Station,2/25/2011 16:18,,,3/27/2011 0:00,3/27/2011 0:00,,,,3/8/2011 16:19
Marilynn Miller,1347,PRN20010001,1848M1R1,Administrative Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,8/30/2001 0:00,,,8/30/2001 0:00,8/30/2001 0:00,9/5/2001 0:00,,,10/19/2017 17:13
Dhiraj Solomon,1347,PRN20020001,1848M1R2,Administrative Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,11/7/2002 0:00,,,1/10/2003 0:00,1/10/2003 0:00,12/12/2002 0:00,,,10/19/2017 9:31
Paul Leonis,1347,PRN20040002,1848M1R4,Administrative Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,10/12/2004 14:25,,,,,11/8/2004 10:49,,,10/19/2017 17:13
Kerry Carr,1347,PRN20040003,1848M1R5,Administrative Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,11/17/2004 14:28,,,,,12/7/2004 10:48,,,10/19/2017 17:12
Teri Waldron,1347,PRN20140001,1848M3R1,Administrative Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,4/1/2014 16:00,,,5/1/2014 0:00,5/1/2014 0:00,4/24/2014 16:00,,,10/19/2017 17:11
William Green,1347,PRN20110001,1848M2,Regular-Significant Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,3/2/2011 17:18,,3/31/2011 10:54,6/29/2011 0:00,6/29/2011 0:00,6/21/2011 9:35,,,10/19/2017 17:12
William Green,1347,PRN20110002,1848M3,Regular-Significant Revision ,Harvest Four Corners LLC,Lateral N30 Compressor Station,10/19/2011 10:40,,11/17/2011 14:59,2/15/2012 0:00,2/15/2012 0:00,2/9/2012 14:53,,,10/19/2017 17:11
Martyne Kieling,1348,PRN20110001,1984M2,GCP1-Significant Revision ,"Enterprise Field Services, LLC",Potter Canyon Compressor Station GCP1-1984,3/3/2011 10:47,,,4/2/2011 0:00,4/2/2011 0:00,3/24/2011 15:20,,,
Sandy Spon,1348,PRN20110002,1984M3,Regular-Significant Revision ,"Enterprise Field Services, LLC",Potter Canyon Compressor Station,8/16/2011 9:24,,9/15/2011 12:50,12/14/2011 0:00,12/14/2011 0:00,12/13/2011 10:21,,,
Marilynn Miller,1350,PRN20020001,1832R1,Administrative Revision ,Harvest Four Corners LLC,Trunk B Booster Compressor Station,8/29/2001 0:00,,,7/24/2002 0:00,7/24/2002 0:00,9/11/2001 0:00,,,1/3/2018 16:38
Teri Waldron,1350,PRN20040001,1832R2,Administrative Revision ,Harvest Four Corners LLC,Trunk B Booster Compressor Station,2/20/2004 9:21,,,,,2/20/2004 13:34,,,1/3/2018 16:38
Teri Waldron,1350,PRN20040003,1832R4,Administrative Revision ,Harvest Four Corners LLC,Trunk B Compressor Station,11/17/2004 12:19,,,,,12/7/2004 12:19,,,1/3/2018 16:37
Teri Waldron,1350,PRN20060001,1832R5,Administrative Revision ,Harvest Four Corners LLC,Trunk B Compressor Station,8/23/2006 16:42,,,,,9/18/2006 14:23,,,1/3/2018 16:37
Cember Hardison,1350,PRN20130001,1832M1R1,Administrative Revision ,Harvest Four Corners LLC,Trunk B Compressor Station,1/9/2013 16:48,,,2/8/2013 0:00,2/8/2013 0:00,1/28/2013 9:27,,,1/3/2018 16:36
Teri Waldron,1350,PRN20140001,1832M1R2,Administrative Revision ,Harvest Four Corners LLC,Trunk B Compressor Station,4/1/2014 11:23,,,5/1/2014 0:00,5/1/2014 0:00,5/2/2014 11:23,,,1/3/2018 16:36
