,id,name,type_code,type,status_code,status,ogrid,ogrid_name,district_code,district,county_code,county,ulstr,latitude,longitude,projection,directional_status,details,files,status2,symbology,year_spudded,spud_date,measured_vertical_depth,true_vertical_depth,pool_id_list,effective_date,plug_date,GlobalID,geometry
38719,30-045-21995,SIXTEEN G'S #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,E-07-24N-09W,36.3307495,-107.8359146,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21995&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045219950000&GISReferenceSource=ArcGISOnline,A,OA,1976.0,1976-02-17 00:00:00+00:00,6500.0,6500.0,[5890] BISTI LOWER-GALLUP (O),1976-08-01 00:00:00+00:00,,{4121B4A8-D163-4AA7-90B9-8846B8068E88},POINT (-107.8359146 36.33074950000002)
38820,30-045-28906,E.L. #001,O    ,Oil,A,Active,372286,"ENDURING RESOURCES, LLC",3,Aztec,45,San Juan,D-31-25N-11W,36.3623619,-108.0511246,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-28906&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045289060000&GISReferenceSource=ArcGISOnline,A,OA,1993.0,1993-01-27 00:00:00+00:00,4970.0,4970.0,[5890] BISTI LOWER-GALLUP (O),2019-04-01 00:00:00+00:00,,{023FB67B-4121-4400-A72C-D743BB3CDC5D},POINT (-108.0511246 36.36236190000005)
39076,30-045-25920,FABULOUS FEB #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,D-31-24N-09W,36.275589,-107.8353958,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25920&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045259200000&GISReferenceSource=ArcGISOnline,A,OA,1984.0,1984-03-30 00:00:00+00:00,6065.0,6065.0,[5890] BISTI LOWER-GALLUP (O),1984-08-01 00:00:00+00:00,,{4820020F-5D9E-4D93-AAAE-0940708E9F0D},POINT (-107.8353958 36.27558900000002)
39734,30-045-13273,CARSON UNIT #021,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,C-19-25N-11W,36.3920784,-108.0473557,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-13273&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045132730000&GISReferenceSource=ArcGISOnline,A,OA,1957.0,1957-06-22 00:00:00+00:00,5026.0,5026.0,[5890] BISTI LOWER-GALLUP (O),2017-12-06 00:00:00+00:00,,{46728287-CF8C-40B1-AC91-2FED85426E9A},POINT (-108.0473557 36.39207840000006)
40163,30-045-29157,MESA GALLUP UNIT #015,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,K-14-32N-18W,36.986618,-108.7129059,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29157&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045291570000&GISReferenceSource=ArcGISOnline,A,OA,1995.0,1995-05-01 00:00:00+00:00,1697.0,1697.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{86DDAB72-4E43-4DFE-9542-42DDC44927D2},POINT (-108.7129059 36.98661800000008)
40166,30-045-11388,NAVAJO #008,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,A-23-32N-18W,36.9780998,-108.7019501,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11388&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045113880000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-02-10 00:00:00+00:00,1445.0,1445.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{5FE366A3-EB1C-44E9-A9FA-9AFBBC1EBAA0},POINT (-108.7019501 36.97809980000005)
40260,30-045-11417,NAVAJO TRIBAL C #003,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,O-14-32N-18W,36.9816093,-108.708725,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11417&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045114170000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-03-17 00:00:00+00:00,1380.0,1380.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{0E042974-FC1C-4D69-AE0F-2EAF1F570478},POINT (-108.708725 36.98160930000006)
40341,30-045-20271,NAVAJO #006,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,H-15-32N-18W,36.9890251,-108.7200241,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-20271&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045202710000&GISReferenceSource=ArcGISOnline,A,OA,1968.0,1968-05-06 00:00:00+00:00,1360.0,1360.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{005B37D2-FE18-49BA-8E75-0862F2CC62BA},POINT (-108.7200241 36.98902510000005)
40343,30-045-20430,NAVAJO TRIBAL C #006,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,N-14-32N-18W,36.9824867,-108.7130051,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-20430&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045204300000&GISReferenceSource=ArcGISOnline,A,OA,1969.0,1969-03-12 00:00:00+00:00,1310.0,1310.0,[45680] MESA GALLUP,2017-01-19 00:00:00+00:00,,{82037B6A-1FC8-4C23-B5AE-BB9085FF43D2},POINT (-108.7130051 36.98248670000004)
40394,30-045-11401,NAVAJO #011,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,B-23-32N-18W,36.9798012,-108.7064667,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11401&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045114010000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-01-24 00:00:00+00:00,1438.0,1438.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{3F5CADDC-BE09-4132-A87C-307A02A29690},POINT (-108.7064667 36.97980120000005)
40504,30-045-11477,NAVAJO AA #006,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,C-18-32N-17W,36.992527,-108.6754379,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11477&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045114770000&GISReferenceSource=ArcGISOnline,A,OA,1963.0,1963-09-19 00:00:00+00:00,1454.0,1454.0,"[44700] MANY ROCKS GALLUP, NORTH",2016-09-09 00:00:00+00:00,,{27D40C5A-5D09-4CDE-8F8D-679F813D8852},POINT (-108.6754379 36.99252700000005)
40510,30-045-11383,NAVAJO TRIBAL C #002,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,H-23-32N-18W,36.9761772,-108.7019501,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11383&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045113830000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-03-10 00:00:00+00:00,1478.0,1478.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{171B582E-94CE-412D-A164-3E65FB35EBB2},POINT (-108.7019501 36.97617720000005)
40511,30-045-11374,NAVAJO #012,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,F-24-32N-18W,36.9744225,-108.6947327,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11374&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045113740000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-02-18 00:00:00+00:00,1573.0,1573.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{D55B98C3-F389-487E-9526-38FBB0A9F8F9},POINT (-108.6947327 36.97442250000006)
40786,30-045-11335,NAVAJO #003,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,N-24-32N-18W,36.9680214,-108.694046,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11335&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045113350000&GISReferenceSource=ArcGISOnline,A,OA,1961.0,1961-08-10 00:00:00+00:00,1163.0,1163.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{6F00D61B-4269-420E-97C2-53600D325910},POINT (-108.694046 36.96802140000005)
41556,30-045-29440,SIXTEEN G'S #004,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,K-07-24N-09W,36.3267403,-107.8321457,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29440&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045294400000&GISReferenceSource=ArcGISOnline,A,OA,1997.0,1997-03-17 00:00:00+00:00,6570.0,6570.0,[5890] BISTI LOWER-GALLUP (O); [71599] BASIN DAKOTA (PRORATED GAS),1997-03-11 00:00:00+00:00,,{9B3C18A0-4AE0-4881-AFAA-71C3207B59CB},POINT (-107.8321457 36.32674030000004)
41609,30-045-21413,HUERFANO UNIT #256,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,O-31-27N-09W,36.5276413,-107.8258286,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21413&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045214130000&GISReferenceSource=ArcGISOnline,A,OA,1974.0,1974-04-29 00:00:00+00:00,6182.0,6182.0,[2170] ANGELS PEAK-GALLUP (ASSOCIATED),2017-08-14 00:00:00+00:00,,{CF08519A-A110-4E47-ADE7-93C8657DD004},POINT (-107.8258286 36.52764130000003)
41636,30-045-11439,NAVAJO #004,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,J-14-32N-18W,36.9852333,-108.7066727,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11439&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045114390000&GISReferenceSource=ArcGISOnline,A,OA,1961.0,1961-10-03 00:00:00+00:00,1365.0,1365.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{16FE5057-3B41-46A3-B110-96BC2CB2F072},POINT (-108.7066727 36.98523330000006)
41983,30-045-20111,NAVAJO #005,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,O-10-32N-18W,36.9964066,-108.7256699,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-20111&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045201110000&GISReferenceSource=ArcGISOnline,A,OA,1967.0,1967-08-07 00:00:00+00:00,1853.0,1853.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{154FA6C9-ADC8-48F8-8368-EF6FBCD87F43},POINT (-108.7256699 36.99640660000006)
41984,30-045-20627,NAVAJO B #003,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,B-15-32N-18W,36.9920425,-108.7239532,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-20627&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045206270000&GISReferenceSource=ArcGISOnline,A,OA,1970.0,1970-03-20 00:00:00+00:00,1275.0,1275.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{346E905D-E9E3-49C4-9577-DFBFD47AAF2B},POINT (-108.7239532 36.99204250000003)
42047,30-045-21378,NAVAJO TRIBE AR #004,O,Oil,A,Active,292875,"NNOGC EXPLORATION AND PRODUCTION, LLC",3,Aztec,45,San Juan,I-27-26N-18W,36.4570351,-108.7395554,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21378&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045213780000&GISReferenceSource=ArcGISOnline,A,OA,1973.0,1973-12-01 00:00:00+00:00,6395.0,6395.0,[59400] TOCITO DOME PENN. D (ASSOC.),2012-10-12 00:00:00+00:00,,{238665C2-A903-4BF6-A250-9F1F3091FCBF},POINT (-108.7395554 36.45703510000004)
42054,30-045-21812,NAVAJO TRIBE BU #002,O    ,Oil,A,Active,292875,"NNOGC EXPLORATION AND PRODUCTION, LLC",3,Aztec,45,San Juan,B-34-26N-18W,36.4500656,-108.7440338,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21812&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045218120000&GISReferenceSource=ArcGISOnline,A,OA,1975.0,1975-07-02 00:00:00+00:00,6436.0,6436.0,[59400] TOCITO DOME PENN. D (ASSOC.),2012-10-12 00:00:00+00:00,,{0A5F5867-38CC-4221-B8AD-9806810C955E},POINT (-108.7440338 36.45006560000007)
42057,30-045-29408,DECEMBER DREAM #003,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,K-07-23N-09W,36.2405624,-107.83181,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-29408&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045294080000&GISReferenceSource=ArcGISOnline,A,OA,1997.0,1997-01-13 00:00:00+00:00,4846.0,4846.0,"[5860] BISTI, S-GALLUP (O)",1996-10-17 00:00:00+00:00,,{0B98BA9B-9CBF-4E63-9AF9-660BF3A9F32D},POINT (-107.83181 36.24056240000004)
42139,30-045-11478,NAVAJO A #003,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,A-15-32N-18W,36.9926071,-108.7214584,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11478&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045114780000&GISReferenceSource=ArcGISOnline,A,OA,1964.0,1964-05-19 00:00:00+00:00,1312.0,1312.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{2BED93E4-56BA-4CB9-88CB-C8B1ECBC1DFE},POINT (-108.7214584 36.99260710000004)
42309,30-045-21445,NAVAJO TRIBE AR #006,O    ,Oil,A,Active,292875,"NNOGC EXPLORATION AND PRODUCTION, LLC",3,Aztec,45,San Juan,O-27-26N-18W,36.4536858,-108.7440414,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21445&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045214450000&GISReferenceSource=ArcGISOnline,A,OA,1974.0,1974-03-18 00:00:00+00:00,6355.0,6355.0,[59400] TOCITO DOME PENN. D (ASSOC.),2012-10-12 00:00:00+00:00,,{4C7914DC-BF30-4BCA-9AB3-A6965D7873AB},POINT (-108.7440414 36.45368580000007)
42443,30-045-21216,HUERFANO UNIT #234,O    ,Oil,A,Active,372171,HILCORP ENERGY COMPANY,3,Aztec,45,San Juan,O-07-26N-09W,36.4987602,-107.8266602,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-21216&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045212160000&GISReferenceSource=ArcGISOnline,A,OA,1973.0,1973-03-13 00:00:00+00:00,6113.0,6113.0,[2170] ANGELS PEAK-GALLUP (ASSOCIATED); [71629] BASIN FRUITLAND COAL (GAS),2017-08-01 00:00:00+00:00,,{09E8FC3E-AF5C-4898-91A2-6B2AA6C59DCD},POINT (-107.8266602 36.49876020000005)
42880,30-045-26869,ANDO HIXON #002,O,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,F-31-25N-11W,36.3594742,-108.0462265,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-26869&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045268690000&GISReferenceSource=ArcGISOnline,A,OA,1988.0,1988-04-20 00:00:00+00:00,4980.0,4980.0,[5890] BISTI LOWER-GALLUP (O),2017-12-06 00:00:00+00:00,,{63A990F0-F0FE-4D9F-9635-823A86E5478B},POINT (-108.0462265 36.35947420000008)
43220,30-045-20225,CLARK KENT #001,O    ,Oil,A,Active,25872,ACTION OIL CO INC,3,Aztec,45,San Juan,I-05-30N-17W,36.841301,-108.6473923,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-20225&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045202250000&GISReferenceSource=ArcGISOnline,A,OA,1968.0,1968-02-29 00:00:00+00:00,1065.0,1065.0,[53470] SALT CREEK DAKOTA,2003-07-01 00:00:00+00:00,,{CC7361F9-EB00-439A-9B88-37953672EC76},POINT (-108.6473923 36.84130100000004)
43276,30-045-10987,NAVAJO TRIBE OF IND F #133,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,D-09-31N-17W,36.9209442,-108.6446304,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-10987&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045109870000&GISReferenceSource=ArcGISOnline,A,OA,1959.0,1959-06-28 00:00:00+00:00,1075.0,1075.0,[32870] HORSESHOE GALLUP,2016-09-09 00:00:00+00:00,,{B3ACC9A1-69B8-4F0D-8305-C2592367FAEB},POINT (-108.6446304 36.92094420000006)
43295,30-045-25917,PAC TEN #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,P-07-24N-09W,36.3234634,-107.8240967,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25917&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045259170000&GISReferenceSource=ArcGISOnline,A,OA,1984.0,1984-04-08 00:00:00+00:00,6563.0,6563.0,[5890] BISTI LOWER-GALLUP (O),1984-06-01 00:00:00+00:00,,{D6E5FF0C-CEE0-4740-87A8-C178B0CAC348},POINT (-107.8240967 36.32346340000004)
43379,30-045-11097,NAVAJO TRIBE OF IND F #102,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,E-04-31N-17W,36.9318161,-108.6446152,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11097&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045110970000&GISReferenceSource=ArcGISOnline,A,OA,1958.0,1958-09-10 00:00:00+00:00,1152.0,1152.0,[32870] HORSESHOE GALLUP,2016-09-09 00:00:00+00:00,,{459E5758-4653-4E48-8F82-1E76173FC09B},POINT (-108.6446152 36.93181610000005)
43384,30-045-25774,NAVAJO TRIBE OF IND F #162,O,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,A-09-31N-17W,36.9227371,-108.6288681,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25774&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045257740000&GISReferenceSource=ArcGISOnline,A,OA,1983.0,1983-08-30 00:00:00+00:00,1009.0,1009.0,[32870] HORSESHOE GALLUP,2016-09-09 00:00:00+00:00,,{341D9A3C-6874-4FE2-A3E1-4336B17E76F1},POINT (-108.6288681 36.92273710000006)
43394,30-045-25918,WAC #001,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,D-17-24N-09W,36.3191261,-107.8184052,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-25918&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045259180000&GISReferenceSource=ArcGISOnline,A,OA,1984.0,1984-04-17 00:00:00+00:00,6425.0,6425.0,[5890] BISTI LOWER-GALLUP (O),1984-07-01 00:00:00+00:00,,{1677A772-7E8D-4785-998F-07DFA0B75901},POINT (-107.8184052 36.31912610000006)
43396,30-045-24560,SIXTEEN G'S #003,O    ,Oil,A,Active,6515,DUGAN PRODUCTION CORP,3,Aztec,45,San Juan,C-07-24N-09W,36.3340149,-107.8326569,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-24560&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045245600000&GISReferenceSource=ArcGISOnline,A,OA,1981.0,1981-07-07 00:00:00+00:00,6485.0,6485.0,[5890] BISTI LOWER-GALLUP (O),1981-08-01 00:00:00+00:00,,{1A6A4B04-C72F-4569-8BD3-4D54A5C7D608},POINT (-107.8326569 36.33401490000006)
43606,30-045-11350,NAVAJO TRIBAL C #004,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,K-24-32N-18W,36.9713936,-108.695076,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11350&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045113500000&GISReferenceSource=ArcGISOnline,A,OA,1962.0,1962-03-27 00:00:00+00:00,1510.0,1510.0,[45680] MESA GALLUP,2016-09-09 00:00:00+00:00,,{0F77C561-10F7-40BC-BE52-15F1D035E101},POINT (-108.695076 36.97139360000006)
43830,30-045-11079,NAVAJO TRIBE OF IND M #306,O    ,Oil,A,Active,370260,LAN MA'S OIL AND GAS LLC,3,Aztec,45,San Juan,G-05-31N-17W,36.9309006,-108.6525116,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-11079&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045110790000&GISReferenceSource=ArcGISOnline,A,OA,1959.0,1959-08-23 00:00:00+00:00,1140.0,1140.0,[32870] HORSESHOE GALLUP,2016-09-09 00:00:00+00:00,,{7C33452B-9890-48BE-9EE5-C641500D3F51},POINT (-108.6525116 36.93090060000003)
44380,30-045-27125,GINNY CORBETT #001,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,J-31-25N-11W,36.3567581,-108.04216,NAD83,V,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-27125&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045271250000&GISReferenceSource=ArcGISOnline,A,OA,1988.0,1988-11-08 00:00:00+00:00,4978.0,4978.0,[5890] BISTI LOWER-GALLUP (O),2017-12-06 00:00:00+00:00,,{F01610E6-40B5-4004-B7C0-2220C89329D4},POINT (-108.04216 36.35675810000004)
44389,30-045-35488,GOOD TIMES UNIT #302H,O    ,Oil,A,Active,371838,"DJR OPERATING, LLC",3,Aztec,45,San Juan,L-17-24N-09W,36.3114471,-107.8204269,NAD83,H,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/WellDetails.aspx?api=30-045-35488&GISReferenceSource=ArcGISOnline,http://ocdimage.emnrd.state.nm.us/imaging/WellFileView.aspx?RefType=WF&RefID=30045354880000&GISReferenceSource=ArcGISOnline,A,OA,2014.0,2014-03-26 00:00:00+00:00,10614.0,5269.0,"[5890] BISTI LOWER-GALLUP (O); [98193] GOOD TIMES,  MANCOS",2019-04-01 00:00:00+00:00,,{F3B094C6-ED61-49E5-8749-D847E05C339E},POINT (-107.8204269 36.31144710000007)
